,random_100,socialstudies_industrialarts_100,industrialarts_socialstudies_100,random_200,socialstudies_industrialarts_200,industrialarts_socialstudies_200,random_300,socialstudies_industrialarts_300,industrialarts_socialstudies_300
0,0.4705882353,0.4925373134,0.4925373134,0.1627906977,0.1834319527,0.0928961749,0.0810810811,0.0810810811,0.1049723757
1,0.4925373134,0.4925373134,0.4925373134,0.1764705882,0.2121212121,0.1560693642,0.0695187166,0.0989010989,0.1363636364
2,0.4705882353,0.5267175573,0.4388489209,0.1904761905,0.1494252874,0.1834319527,0.0810810811,0.0526315789,0.1173184358
3,0.4598540146,0.5625,0.5384615385,0.1428571429,0.2121212121,0.1627906977,0.0928961749,0.1363636364,0.0989010989
4,0.4705882353,0.5384615385,0.5384615385,0.1560693642,0.1764705882,0.2345679012,0.0695187166,0.1049723757,0.1111111111
5,0.5384615385,0.5267175573,0.5267175573,0.1428571429,0.1560693642,0.1834319527,0.0928961749,0.0989010989,0.1235955056
6,0.5267175573,0.5267175573,0.5748031496,0.1695906433,0.1834319527,0.1627906977,0.1111111111,0.1299435028,0.0989010989
7,0.4492753623,0.5037593985,0.5384615385,0.1560693642,0.2195121951,0.1904761905,0.1428571429,0.1428571429,0.0989010989
8,0.5384615385,0.5625,0.5873015873,0.1764705882,0.1695906433,0.1904761905,0.1173184358,0.0810810811,0.1235955056
9,0.5037593985,0.5625,0.4925373134,0.1627906977,0.1494252874,0.1695906433,0.1235955056,0.1560693642,0.0928961749
10,0.4705882353,0.5384615385,0.5267175573,0.1904761905,0.1299435028,0.1428571429,0.1173184358,0.0928961749,0.0810810811
11,0.4184397163,0.5037593985,0.5037593985,0.1111111111,0.1494252874,0.1428571429,0.0526315789,0.1049723757,0.1049723757
12,0.4285714286,0.5151515152,0.5037593985,0.1627906977,0.1834319527,0.1428571429,0.0989010989,0.1111111111,0.0752688172
13,0.4492753623,0.5384615385,0.5384615385,0.1428571429,0.1695906433,0.1695906433,0.1049723757,0.0695187166,0.0695187166
14,0.3793103448,0.4814814815,0.4705882353,0.1627906977,0.1494252874,0.1904761905,0.0526315789,0.0928961749,0.1299435028
15,0.4814814815,0.5267175573,0.4814814815,0.1428571429,0.1976047904,0.1695906433,0.0928961749,0.0869565217,0.0989010989
16,0.4598540146,0.4388489209,0.5151515152,0.1560693642,0.1764705882,0.1764705882,0.0989010989,0.0810810811,0.1111111111
17,0.4388489209,0.4814814815,0.5151515152,0.1976047904,0.1695906433,0.1695906433,0.0928961749,0.0695187166,0.1049723757
18,0.5151515152,0.5037593985,0.4814814815,0.1235955056,0.1363636364,0.1363636364,0.0582010582,0.1111111111,0.1235955056
19,0.5037593985,0.4492753623,0.5151515152,0.1560693642,0.1627906977,0.1695906433,0.1111111111,0.1428571429,0.1173184358
20,0.4705882353,0.5037593985,0.4705882353,0.1627906977,0.1627906977,0.1627906977,0.1627906977,0.1049723757,0.1049723757
21,0.3888888889,0.5625,0.4598540146,0.1428571429,0.1834319527,0.1560693642,0.0582010582,0.0869565217,0.0810810811
22,0.4388489209,0.5384615385,0.4492753623,0.1560693642,0.1560693642,0.1363636364,0.0752688172,0.0810810811,0.0928961749
23,0.5267175573,0.5037593985,0.4925373134,0.1494252874,0.1173184358,0.1764705882,0.0869565217,0.0526315789,0.1049723757
24,0.5037593985,0.5037593985,0.5384615385,0.1695906433,0.1627906977,0.1695906433,0.0928961749,0.0582010582,0.1299435028
25,0.4598540146,0.5503875969,0.5037593985,0.1764705882,0.2195121951,0.1764705882,0.0810810811,0.1235955056,0.0928961749
26,0.4388489209,0.5625,0.5267175573,0.2121212121,0.2195121951,0.1560693642,0.0526315789,0.1299435028,0.0869565217
27,0.4705882353,0.5267175573,0.4814814815,0.1428571429,0.1494252874,0.1049723757,0.0471204188,0.0810810811,0.0989010989
28,0.5384615385,0.4925373134,0.4814814815,0.1560693642,0.1695906433,0.1494252874,0.0869565217,0.0869565217,0.0869565217
29,0.4388489209,0.5037593985,0.5037593985,0.2345679012,0.1173184358,0.1299435028,0.1111111111,0.0752688172,0.0989010989
30,0.4598540146,0.5151515152,0.5384615385,0.1695906433,0.1494252874,0.1627906977,0.1049723757,0.1173184358,0.0928961749
31,0.4925373134,0.5625,0.4814814815,0.1299435028,0.1560693642,0.1494252874,0.0695187166,0.1235955056,0.0869565217
32,0.4705882353,0.5037593985,0.5037593985,0.1494252874,0.1627906977,0.1976047904,0.0752688172,0.0869565217,0.0869565217
33,0.4814814815,0.4925373134,0.5267175573,0.1695906433,0.1695906433,0.1834319527,0.1363636364,0.1111111111,0.0989010989
34,0.4598540146,0.5037593985,0.5384615385,0.1494252874,0.1235955056,0.1627906977,0.1173184358,0.0810810811,0.1111111111
35,0.4705882353,0.4814814815,0.5037593985,0.1764705882,0.1764705882,0.1695906433,0.0695187166,0.0989010989,0.1235955056
36,0.3986013986,0.5267175573,0.5384615385,0.1560693642,0.2195121951,0.1627906977,0.0928961749,0.0869565217,0.0752688172
37,0.5151515152,0.5503875969,0.5748031496,0.1695906433,0.2121212121,0.226993865,0.1173184358,0.0928961749,0.0928961749
38,0.4492753623,0.5151515152,0.5151515152,0.2048192771,0.1560693642,0.1494252874,0.0928961749,0.1049723757,0.0989010989
39,0.4598540146,0.5384615385,0.5503875969,0.1627906977,0.1764705882,0.1904761905,0.1235955056,0.0928961749,0.1363636364
40,0.4925373134,0.4705882353,0.5748031496,0.2048192771,0.1695906433,0.1764705882,0.1363636364,0.1111111111,0.0582010582
41,0.4598540146,0.5267175573,0.5384615385,0.1428571429,0.1560693642,0.1428571429,0.0928961749,0.0810810811,0.0928961749
42,0.4925373134,0.4388489209,0.5625,0.1976047904,0.1834319527,0.1560693642,0.0989010989,0.0928961749,0.1235955056
43,0.4598540146,0.5151515152,0.4814814815,0.1363636364,0.2048192771,0.1560693642,0.0928961749,0.0989010989,0.1111111111
44,0.4814814815,0.5503875969,0.5037593985,0.1627906977,0.1834319527,0.1834319527,0.1111111111,0.0989010989,0.1299435028
45,0.5267175573,0.4814814815,0.4814814815,0.2048192771,0.1560693642,0.1560693642,0.1235955056,0.1173184358,0.1111111111
46,0.5151515152,0.5267175573,0.5873015873,0.1695906433,0.1627906977,0.1627906977,0.0752688172,0.1049723757,0.0752688172
47,0.4925373134,0.5151515152,0.5037593985,0.1976047904,0.1834319527,0.1627906977,0.0928961749,0.1173184358,0.1049723757
48,0.5037593985,0.5151515152,0.5384615385,0.1904761905,0.1695906433,0.1494252874,0.0928961749,0.0582010582,0.0582010582
49,0.4184397163,0.5037593985,0.5151515152,0.1428571429,0.1904761905,0.1764705882,0.0752688172,0.0810810811,0.1235955056
50,0.4925373134,0.4705882353,0.4705882353,0.1363636364,0.1363636364,0.1173184358,0.1049723757,0.0869565217,0.1049723757
51,0.4598540146,0.5267175573,0.5037593985,0.1494252874,0.1834319527,0.1627906977,0.0928961749,0.0989010989,0.0869565217
52,0.4925373134,0.5267175573,0.4925373134,0.2121212121,0.1834319527,0.1494252874,0.1111111111,0.1049723757,0.1173184358
53,0.4388489209,0.5037593985,0.5503875969,0.2195121951,0.1627906977,0.1904761905,0.1111111111,0.1173184358,0.1049723757
54,0.4388489209,0.5267175573,0.5625,0.1560693642,0.1834319527,0.1976047904,0.0695187166,0.1111111111,0.0752688172
55,0.4285714286,0.5151515152,0.4925373134,0.226993865,0.1976047904,0.1627906977,0.1049723757,0.0928961749,0.0810810811
56,0.4388489209,0.5873015873,0.5151515152,0.1627906977,0.1976047904,0.1111111111,0.0989010989,0.0695187166,0.1235955056
57,0.4492753623,0.5037593985,0.5037593985,0.1494252874,0.2048192771,0.1494252874,0.0869565217,0.1363636364,0.1428571429
58,0.5037593985,0.5267175573,0.5503875969,0.1627906977,0.1764705882,0.1976047904,0.0810810811,0.0695187166,0.1111111111
59,0.5267175573,0.4705882353,0.5267175573,0.2048192771,0.1904761905,0.1904761905,0.1299435028,0.1428571429,0.1111111111
60,0.4705882353,0.5503875969,0.5151515152,0.1695906433,0.1834319527,0.1494252874,0.0989010989,0.0928961749,0.0989010989
61,0.4285714286,0.4925373134,0.5748031496,0.1428571429,0.1904761905,0.226993865,0.1299435028,0.1235955056,0.1235955056
62,0.4814814815,0.4598540146,0.4925373134,0.1363636364,0.1627906977,0.1695906433,0.0928961749,0.1173184358,0.0989010989
63,0.4492753623,0.5037593985,0.6129032258,0.1764705882,0.1764705882,0.2121212121,0.1111111111,0.0869565217,0.0810810811
64,0.5151515152,0.5384615385,0.4492753623,0.1834319527,0.1695906433,0.1235955056,0.1111111111,0.1235955056,0.1049723757
65,0.4492753623,0.5151515152,0.5384615385,0.2195121951,0.1560693642,0.1627906977,0.0928961749,0.0928961749,0.0810810811
66,0.5037593985,0.5151515152,0.4814814815,0.1627906977,0.1494252874,0.1428571429,0.1173184358,0.1049723757,0.1111111111
67,0.5151515152,0.4492753623,0.4925373134,0.1976047904,0.1494252874,0.1695906433,0.1235955056,0.1299435028,0.1049723757
68,0.4925373134,0.5037593985,0.4492753623,0.1834319527,0.1834319527,0.1627906977,0.0695187166,0.0989010989,0.0752688172
69,0.4705882353,0.5267175573,0.5267175573,0.1695906433,0.1560693642,0.1494252874,0.1049723757,0.0810810811,0.1049723757
70,0.4925373134,0.4814814815,0.5748031496,0.1494252874,0.1235955056,0.1627906977,0.0869565217,0.0582010582,0.1049723757
71,0.4388489209,0.4814814815,0.4598540146,0.1299435028,0.1494252874,0.1494252874,0.0752688172,0.0810810811,0.1299435028
72,0.5503875969,0.4925373134,0.4925373134,0.2121212121,0.1494252874,0.1428571429,0.1049723757,0.0989010989,0.0989010989
73,0.4184397163,0.5037593985,0.5625,0.1235955056,0.1494252874,0.1834319527,0.0582010582,0.0810810811,0.0752688172
74,0.4814814815,0.5384615385,0.5151515152,0.1695906433,0.1695906433,0.1494252874,0.0638297872,0.1173184358,0.1428571429
75,0.4705882353,0.5037593985,0.5151515152,0.1834319527,0.1764705882,0.1627906977,0.1173184358,0.1764705882,0.1235955056
76,0.4814814815,0.5267175573,0.5503875969,0.0989010989,0.1834319527,0.226993865,0.0928961749,0.1428571429,0.0989010989
77,0.4925373134,0.5037593985,0.5037593985,0.1627906977,0.1627906977,0.1428571429,0.0638297872,0.1494252874,0.0526315789
78,0.4492753623,0.5267175573,0.5037593985,0.1494252874,0.1976047904,0.1834319527,0.0989010989,0.0582010582,0.0989010989
79,0.4705882353,0.5267175573,0.5267175573,0.226993865,0.1049723757,0.1764705882,0.1111111111,0.0695187166,0.1111111111
80,0.4705882353,0.5037593985,0.5151515152,0.1695906433,0.2121212121,0.1904761905,0.0869565217,0.0989010989,0.0810810811
81,0.4925373134,0.5037593985,0.4598540146,0.1299435028,0.1560693642,0.1627906977,0.0928961749,0.1173184358,0.1299435028
82,0.5267175573,0.5503875969,0.5267175573,0.2048192771,0.1834319527,0.2195121951,0.0810810811,0.1111111111,0.1173184358
83,0.4285714286,0.4814814815,0.4814814815,0.1363636364,0.1627906977,0.1049723757,0.0869565217,0.0869565217,0.1235955056
84,0.4814814815,0.4814814815,0.4705882353,0.1428571429,0.1764705882,0.1764705882,0.1049723757,0.1173184358,0.1764705882
85,0.4925373134,0.4925373134,0.4925373134,0.1428571429,0.1695906433,0.1627906977,0.0989010989,0.0928961749,0.0989010989
86,0.4705882353,0.5151515152,0.4925373134,0.1764705882,0.2121212121,0.1428571429,0.1560693642,0.0928961749,0.1235955056
87,0.4705882353,0.5037593985,0.5151515152,0.226993865,0.1764705882,0.1363636364,0.1111111111,0.1363636364,0.0810810811
88,0.4705882353,0.4598540146,0.5748031496,0.1363636364,0.1299435028,0.2195121951,0.0810810811,0.1363636364,0.1049723757
89,0.4184397163,0.5384615385,0.5037593985,0.1764705882,0.1695906433,0.1235955056,0.0752688172,0.0810810811,0.0810810811
90,0.4705882353,0.4705882353,0.5037593985,0.1235955056,0.1049723757,0.1428571429,0.0989010989,0.0695187166,0.0695187166
91,0.4814814815,0.6,0.4925373134,0.1363636364,0.1695906433,0.1560693642,0.0582010582,0.1428571429,0.1235955056
92,0.4285714286,0.5267175573,0.4705882353,0.1235955056,0.1695906433,0.0989010989,0.1049723757,0.1235955056,0.0869565217
93,0.4814814815,0.5625,0.4925373134,0.1627906977,0.1695906433,0.1299435028,0.0928961749,0.0989010989,0.0928961749
94,0.4925373134,0.5384615385,0.4925373134,0.1494252874,0.1764705882,0.2195121951,0.0752688172,0.1173184358,0.0810810811
95,0.5037593985,0.5267175573,0.5037593985,0.1764705882,0.226993865,0.1428571429,0.0928961749,0.1049723757,0.1173184358
96,0.4705882353,0.5037593985,0.4492753623,0.2048192771,0.1834319527,0.1299435028,0.1111111111,0.0869565217,0.0989010989
97,0.4925373134,0.4492753623,0.5151515152,0.1627906977,0.1111111111,0.1173184358,0.1111111111,0.1173184358,0.1299435028
98,0.4705882353,0.4925373134,0.5503875969,0.1764705882,0.1494252874,0.1299435028,0.0752688172,0.0752688172,0.0752688172
99,0.5384615385,0.4598540146,0.4598540146,0.226993865,0.1111111111,0.1049723757,0.0869565217,0.0869565217,0.0810810811
